,geo_id,% of Population Identifying as Black,Census tract,geometry
32,1400000US42003101400,3.2,101400,"MULTIPOLYGON (((-79.938012 40.491067, -79.93557199999999 40.491491, -79.934338 40.49157, -79.93296100000001 40.491647, -79.927922 40.491538, -79.925044 40.490999, -79.92356700000001 40.490717, -79.917249 40.489258, -79.915182 40.488835, -79.91248299999999 40.488273, -79.91325399999999 40.486614, -79.918537 40.48801, -79.91936800000001 40.488201, -79.919639 40.487308, -79.920248 40.487412, -79.920526 40.487199, -79.920511 40.486675, -79.922647 40.48505, -79.92420799999999 40.483066, -79.924815 40.481899, -79.92734 40.480846, -79.927493 40.47866, -79.927628 40.477905, -79.928123 40.476601, -79.928583 40.475332, -79.92829999999999 40.47418, -79.928349 40.472318, -79.931194 40.473437, -79.93146299999999 40.473909, -79.931916 40.475217, -79.931799 40.475391, -79.93171599999999 40.476482, -79.93201999999999 40.478584, -79.93167800000001 40.479716, -79.930684 40.482795, -79.929832 40.485388, -79.92925700000001 40.485872, -79.927958 40.486923, -79.925532 40.488308, -79.931489 40.489142, -79.932151 40.489025, -79.93390599999999 40.489158, -79.935087 40.489142, -79.937156 40.488429, -79.938012 40.491067)))"
33,1400000US42003101800,19.5,101800,"MULTIPOLYGON (((-79.94886700000001 40.478346, -79.946973 40.478102, -79.947693 40.478639, -79.94665999999999 40.47941, -79.947546 40.480077, -79.945024 40.481849, -79.94524 40.483157, -79.94316999999999 40.48318, -79.944519 40.48359, -79.94567600000001 40.484617, -79.946298 40.485158, -79.937156 40.488429, -79.935087 40.489142, -79.93390599999999 40.489158, -79.932151 40.489025, -79.931489 40.489142, -79.925532 40.488308, -79.927958 40.486923, -79.92925700000001 40.485872, -79.929832 40.485388, -79.930684 40.482795, -79.93167800000001 40.479716, -79.93201999999999 40.478584, -79.93171599999999 40.476482, -79.931799 40.475391, -79.931916 40.475217, -79.93320799999999 40.479855, -79.93443600000001 40.48048, -79.934777 40.480588, -79.937742 40.48135, -79.938984 40.48165, -79.940601 40.482014, -79.943079 40.479954, -79.94441399999999 40.478645, -79.946254 40.477696, -79.947058 40.477612, -79.948944 40.478173, -79.94886700000001 40.478346)))"
34,1400000US42003101900,68.6,101900,"MULTIPOLYGON (((-79.947382 40.468447, -79.945669 40.470753, -79.942729 40.472129, -79.939082 40.473081, -79.935453 40.472562, -79.93457100000001 40.472166, -79.932906 40.470678, -79.932787 40.470637, -79.932991 40.470336, -79.934617 40.467687, -79.93548199999999 40.466261, -79.936441 40.464676, -79.93938199999999 40.464533, -79.941135 40.464745, -79.942858 40.464968, -79.94523100000001 40.465297, -79.94644599999999 40.465466, -79.946116 40.466964, -79.946808 40.46751, -79.947382 40.468447)))"
35,1400000US42003110200,17.3,110200,"MULTIPOLYGON (((-79.928583 40.475332, -79.928123 40.476601, -79.927628 40.477905, -79.927493 40.47866, -79.92734 40.480846, -79.92460800000001 40.479805, -79.922382 40.479474, -79.920295 40.478718, -79.91871399999999 40.47945, -79.916175 40.47848, -79.917873 40.475913, -79.918786 40.474502, -79.919192 40.473667, -79.91930499999999 40.47342, -79.91973900000001 40.472489, -79.921025 40.46969, -79.92402800000001 40.470731, -79.926277 40.471522, -79.928349 40.472318, -79.92829999999999 40.47418, -79.928583 40.475332)))"
36,1400000US42003110600,11.8,110600,"MULTIPOLYGON (((-79.91973900000001 40.472489, -79.91930499999999 40.47342, -79.919192 40.473667, -79.918786 40.474502, -79.917873 40.475913, -79.916175 40.47848, -79.913341 40.478718, -79.914305 40.475281, -79.910815 40.475132, -79.911011 40.473884, -79.91164999999999 40.470092, -79.912468 40.469323, -79.912744 40.469226, -79.914839 40.468832, -79.914682 40.468299, -79.91460499999999 40.46741, -79.916161 40.466991, -79.916436 40.467641, -79.916948 40.468581, -79.917404 40.4687, -79.917832 40.468814, -79.91874199999999 40.469057, -79.921025 40.46969, -79.91973900000001 40.472489)))"
37,1400000US42003111300,31,111300,"MULTIPOLYGON (((-79.932787 40.470637, -79.93171599999999 40.472041, -79.931702 40.472271, -79.93146299999999 40.473909, -79.931194 40.473437, -79.928349 40.472318, -79.926277 40.471522, -79.92402800000001 40.470731, -79.921025 40.46969, -79.91874199999999 40.469057, -79.917832 40.468814, -79.917404 40.4687, -79.916948 40.468581, -79.916436 40.467641, -79.916161 40.466991, -79.917798 40.466604, -79.919229 40.465988, -79.919904 40.46507, -79.920931 40.465445, -79.922763 40.465943, -79.924257 40.466297, -79.92531700000001 40.466703, -79.926286 40.467033, -79.928123 40.467723, -79.92786700000001 40.468149, -79.92751699999999 40.46875, -79.93181 40.470271, -79.932787 40.470637)))"
38,1400000US42003111400,55.5,111400,"MULTIPOLYGON (((-79.93548199999999 40.466261, -79.934617 40.467687, -79.932991 40.470336, -79.932787 40.470637, -79.93181 40.470271, -79.92751699999999 40.46875, -79.92786700000001 40.468149, -79.928123 40.467723, -79.928797 40.466611, -79.929401 40.465611, -79.930074 40.464505, -79.930673 40.463493, -79.932489 40.464125, -79.934518 40.464772, -79.935108 40.464734, -79.936441 40.464676, -79.93548199999999 40.466261)))"
39,1400000US42003111500,52,111500,"MULTIPOLYGON (((-79.934256 40.457577, -79.933819 40.458351, -79.932399 40.460678, -79.931617 40.461959, -79.930673 40.463493, -79.930074 40.464505, -79.929401 40.465611, -79.928797 40.466611, -79.928123 40.467723, -79.926286 40.467033, -79.92531700000001 40.466703, -79.924257 40.466297, -79.922763 40.465943, -79.920931 40.465445, -79.919904 40.46507, -79.918938 40.464719, -79.917406 40.463446, -79.916376 40.462265, -79.915797 40.460806, -79.91577100000001 40.459858, -79.917412 40.457481, -79.918069 40.457929, -79.91933400000001 40.458802, -79.920783 40.459742, -79.922723 40.460656, -79.925043 40.459954, -79.92898 40.458758, -79.934057 40.457262, -79.934256 40.457577)))"
40,1400000US42003120300,70.9,120300,"MULTIPOLYGON (((-79.90881899999999 40.467896, -79.90862199999999 40.470281, -79.90834700000001 40.473474, -79.908275 40.474216, -79.904437 40.474023, -79.89917699999999 40.476061, -79.89842400000001 40.475723, -79.898082 40.473547, -79.899249 40.472722, -79.897111 40.470072, -79.89634599999999 40.469122, -79.896047 40.468749, -79.896602 40.468385, -79.898976 40.464668, -79.89960000000001 40.4645, -79.90063000000001 40.464239, -79.900881 40.464175, -79.903324 40.463534, -79.904188 40.463314, -79.90561700000001 40.462596, -79.906194 40.463729, -79.908614 40.467108, -79.90874100000001 40.467391, -79.90881899999999 40.467896)))"
41,1400000US42003120900,78.1,120900,"MULTIPOLYGON (((-79.919229 40.465988, -79.917798 40.466604, -79.916161 40.466991, -79.91460499999999 40.46741, -79.90954600000001 40.470181, -79.90862199999999 40.470281, -79.90881899999999 40.467896, -79.90874100000001 40.467391, -79.908614 40.467108, -79.906194 40.463729, -79.90561700000001 40.462596, -79.9063 40.461017, -79.90804 40.458674, -79.909547 40.456691, -79.912424 40.454037, -79.917412 40.457481, -79.91577100000001 40.459858, -79.915797 40.460806, -79.916376 40.462265, -79.917406 40.463446, -79.918938 40.464719, -79.919904 40.46507, -79.919229 40.465988)))"
